community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_plantarum	L_lactis	M_malt_e	1.0	0.33	1	0.33
all	minimal	L_plantarum	L_lactis	M_malthx_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_maltttr_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_man1p_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_man_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_mbdg_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_melib_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_meoh_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_met__L_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_metox__R_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_metox_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_mg2_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_mmet_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_mn2_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_mnl_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_mso3_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_murein4p3p_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_murein4p4p_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_murein4px4p_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_murein4px4px4p_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_murein5p3p_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_murein5p4p_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_murein5p5p5p_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_murein5p5p_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_murein5px3p_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_murein5px4p_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_murein5px4px4p_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_nh4_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_nmn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_no2_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_no3_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_o2_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_orn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_pi_e	1.0	0.24	1	0.24
all	minimal	L_plantarum	L_lactis	M_pnto__R_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_pro__L_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_ptrc_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_pyr_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_raffin_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_rbt_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_rib__D_e	1.0	0.21	1	0.21
all	minimal	L_plantarum	L_lactis	M_ribflv_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_rmn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_s_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_salchs4_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_salchs4fe_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_salcn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_sbt__D_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_ser__D_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_ser__L_e	1.0	0.0	1	0.0
