,rep,species,medium,OD,time,fold_change
371,0,B_animalis_subsp_lactis_BL_04,M14,0.1,12,0.0
372,0,B_animalis_subsp_lactis_BL_04,M14,0.1,18,0.0
373,0,B_animalis_subsp_lactis_BL_04,M14,0.1,24,0.0
374,0,B_animalis_subsp_lactis_BL_04,M14,0.1,48,0.0
375,0,B_animalis_subsp_lactis_BL_04,M16,0.1,8,0.0
376,0,B_animalis_subsp_lactis_BL_04,M16,0.1,12,0.0
377,0,B_animalis_subsp_lactis_BL_04,M16,0.1,18,0.0
378,0,B_animalis_subsp_lactis_BL_04,M16,0.1,24,0.0
379,0,B_animalis_subsp_lactis_BL_04,M16,0.1,48,0.0
380,0,B_crossotus,M1,0.1,8,0.0
381,0,B_crossotus,M1,0.1,12,0.0
382,0,B_crossotus,M1,0.1,18,0.0
383,0,B_crossotus,M1,0.1,24,0.0
384,0,B_crossotus,M1,0.1,48,0.0
385,0,B_crossotus,M2,0.1,8,0.0
386,0,B_crossotus,M2,0.1,12,0.0
387,0,B_crossotus,M2,0.1,18,0.0
388,0,B_crossotus,M2,0.1,24,0.0
389,0,B_crossotus,M2,0.1,48,0.0
390,0,B_crossotus,M3,0.1,8,0.0
391,0,B_crossotus,M3,0.1,12,0.0
392,0,B_crossotus,M3,0.1,18,0.0
393,0,B_crossotus,M3,0.1,24,0.0
394,0,B_crossotus,M3,0.1,48,0.0
395,0,B_crossotus,M4,0.1,8,0.0
396,0,B_crossotus,M4,0.1,12,0.0
397,0,B_crossotus,M4,0.1,18,0.0
398,0,B_crossotus,M4,0.1,24,0.0
399,0,B_crossotus,M4,0.1,48,0.0
400,0,B_crossotus,M5,0.1,8,0.0
401,0,B_crossotus,M5,0.1,12,0.0
402,0,B_crossotus,M5,0.1,18,0.0
403,0,B_crossotus,M5,0.1,24,0.0
404,0,B_crossotus,M5,0.1,48,0.0
405,0,B_crossotus,M7,0.1,8,0.0
406,0,B_crossotus,M7,0.1,12,0.0
